in:Windows,in:Roof,in:Walls,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Kitchen,out:Peak_Kitchen[W],out:LT_kitchen,out:LivingR,out:Peak_LivingR[W],out:LT_LivingR,out:Attic,out:Peak_Attic[W],out:LT_Attic,img
double_glas,m_r_insulation,l_insulation,True,True,48.82908,1.171127,55.525916,131.191301,326739.172092,0,591.741927,LT-ready,3,3981.832276,Almost LT-ready,3,5876.211166,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallsl_insulation.png
acht_w_foil,m_r_insulation,l_insulation,True,True,43.44844,1.189135,55.543924,125.828669,306234.020553,0,489.981754,LT-ready,3,3724.917102,Almost LT-ready,1,5529.75572,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallsl_insulation.png
HR++,m_r_insulation,l_insulation,True,True,39.407381,1.203989,55.558777,121.802464,290834.812768,0,410.698131,LT-ready,2,3541.286348,Almost LT-ready,1,5263.618009,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallsl_insulation.png
triple_glas,m_r_insulation,l_insulation,True,True,36.923095,1.211359,55.566148,119.325548,281366.763931,0,361.961351,LT-ready,2,3435.60836,Almost LT-ready,1,5100.876761,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallsl_insulation.png
double_glas,h_r_insulation,l_insulation,True,True,43.33684,1.11014,55.464929,125.638074,305754.105463,0,541.61215,LT-ready,2,3593.137911,Almost LT-ready,1,4885.434953,Almost LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallsl_insulation.png
acht_w_foil,h_r_insulation,l_insulation,True,True,37.770035,1.130522,55.485311,120.09165,284540.699495,0,437.849355,LT-ready,0,3329.831824,LT-ready,0,4525.366102,LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallsl_insulation.png
HR++,h_r_insulation,l_insulation,True,True,33.691133,1.145568,55.500357,116.027794,268997.319784,0,356.982498,LT-ready,0,3136.294802,LT-ready,0,4248.135098,LT-ready,WindowsHR++_Roofh_r_insulation_Wallsl_insulation.png
triple_glas,h_r_insulation,l_insulation,True,True,31.225665,1.155499,55.510287,113.572258,259602.792899,0,307.292658,LT-ready,0,3026.867457,LT-ready,0,4078.204742,LT-ready,Windowstriple_glas_Roofh_r_insulation_Wallsl_insulation.png
double_glas,m_r_insulation,m_insulation,True,True,47.642254,1.165923,55.520712,129.999271,322209.965913,0,576.282906,LT-ready,3,3909.229536,Almost LT-ready,3,5860.751769,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallsm_insulation.png
acht_w_foil,m_r_insulation,m_insulation,True,True,42.260506,1.185566,55.540354,124.637165,301701.715625,0,474.273144,LT-ready,3,3651.17858,Almost LT-ready,1,5513.777318,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallsm_insulation.png
HR++,m_r_insulation,m_insulation,True,True,38.242057,1.193989,55.548778,120.62714,286384.298466,0,394.816914,LT-ready,2,3465.13094,Almost LT-ready,1,5247.06036,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallsm_insulation.png
triple_glas,m_r_insulation,m_insulation,True,True,35.743879,1.210138,55.564926,118.14511,276869.3174,0,345.974857,LT-ready,1,3358.513217,Almost LT-ready,1,5083.964361,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallsm_insulation.png
double_glas,h_r_insulation,m_insulation,True,True,42.052638,1.106739,55.461528,124.350471,300854.823328,0,525.862185,LT-ready,2,3519.558947,Almost LT-ready,0,4869.054655,LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallsm_insulation.png
acht_w_foil,h_r_insulation,m_insulation,True,True,36.585483,1.127871,55.48266,118.904448,280021.923947,0,421.869698,LT-ready,0,3255.140249,LT-ready,0,4508.339124,LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallsm_insulation.png
HR++,h_r_insulation,m_insulation,True,True,32.536048,1.136993,55.491782,114.864135,264586.832124,0,340.880575,LT-ready,0,3059.128621,LT-ready,0,4230.360719,LT-ready,WindowsHR++_Roofh_r_insulation_Wallsm_insulation.png
triple_glas,h_r_insulation,m_insulation,True,True,30.052986,1.151851,55.50664,112.395931,255128.603569,0,291.149472,LT-ready,0,2949.049499,LT-ready,0,4059.725299,LT-ready,Windowstriple_glas_Roofh_r_insulation_Wallsm_insulation.png
double_glas,m_r_insulation,h_insulation,True,True,44.231524,1.149244,55.504033,126.571862,309192.638965,0,532.118564,LT-ready,3,3702.951973,Almost LT-ready,3,5816.454383,Almost LT-ready,Windowsdouble_glas_Roofm_r_insulation_Wallsh_insulation.png
acht_w_foil,m_r_insulation,h_insulation,True,True,38.877031,1.170396,55.525185,121.23852,288789.353964,0,429.408384,LT-ready,2,3441.335874,Almost LT-ready,1,5467.788202,Almost LT-ready,Windowsacht_w_foil_Roofm_r_insulation_Wallsh_insulation.png
HR++,m_r_insulation,h_insulation,True,True,34.95561,1.1743,55.529089,117.321003,273838.815938,0,349.232666,LT-ready,0,3247.41472,LT-ready,1,5199.147664,Almost LT-ready,WindowsHR++_Roofm_r_insulation_Wallsh_insulation.png
triple_glas,m_r_insulation,h_insulation,True,True,32.613606,1.191609,55.546398,114.996309,264920.159763,0,299.499783,LT-ready,0,3138.454331,LT-ready,1,5033.974872,Almost LT-ready,Windowstriple_glas_Roofm_r_insulation_Wallsh_insulation.png
double_glas,h_r_insulation,h_insulation,True,True,38.603362,1.09148,55.446269,120.885936,287691.48804,0,480.811432,LT-ready,0,3310.706865,LT-ready,0,4822.012761,LT-ready,Windowsdouble_glas_Roofh_r_insulation_Wallsh_insulation.png
acht_w_foil,h_r_insulation,h_insulation,True,True,33.250973,1.111794,55.466583,115.553861,267295.653951,0,376.225823,LT-ready,0,3042.867242,LT-ready,0,4459.109501,LT-ready,Windowsacht_w_foil_Roofh_r_insulation_Wallsh_insulation.png
HR++,h_r_insulation,h_insulation,True,True,29.265188,1.120366,55.475154,111.576647,252102.892899,0,294.826857,LT-ready,0,2838.792285,LT-ready,0,4178.360283,LT-ready,WindowsHR++_Roofh_r_insulation_Wallsh_insulation.png
triple_glas,h_r_insulation,h_insulation,True,True,26.842751,1.137529,55.492318,109.171374,242877.428272,0,244.645203,LT-ready,0,2725.502371,LT-ready,0,4004.590367,LT-ready,Windowstriple_glas_Roofh_r_insulation_Wallsh_insulation.png
